reviews,titles
오늘 스크린에서 또 봤다    역시 또 눈물만 흐른다      아      그 감동     ,변호인
사람이 살다가 가자 힘들 때가 언제일까  사람한테 상처받았을 때라고 한다  상처가 나면 부위를 소독하고 잘 봉합해서 시간이 지나가길 기다려야 한다  마음의 상처도 마찬가지다  어떤 불행을 겪었을 때 그 사건을 제  자의 눈으로 잘 이해하고 그 사람의 아픈 상처를 덮을 줄 알아야 한다 ,겨울왕국
희대에 쓰레기애니메이션  언젠가는 잿더미로 변하길 원할 뿐,겨울왕국
이거 개봉할때 태어난 애들이 올해 초등학교 입학이라니      난 저거 개봉할때 초등학교 입학했는데     허허    ,겨울왕국
와 개명작이지,겨울왕국
지옥으로 떨어져야되는 쓰레기프랜차이즈,겨울왕국
조아요  여왕 엘사와 동생  안나의  모험이 참  좋아요 ,겨울왕국
디즈니 애니메이션 중 가장 매력적인 주인공 ,겨울왕국
현대적 디즈니 서사의 정점 세상에 벽을 쌓지 말고 친구와 가족을 소중히 하자,겨울왕국
다시 겨울왕국 보니까 더 이해가 잘 되네요   그리고 노래가  중독성이 있어서 계속 따라부르게되네요 ,겨울왕국
올만에 다시밧는데역시 재미  감동 쵝오,겨울왕국
 ,겨울왕국
최고야 엘사 사랑해,겨울왕국
굿잡,겨울왕국
인생영화 ,겨울왕국
굿,겨울왕국
재미없을 줄알라더만 재밌네  ,겨울왕국
너무재밌고 좋아요  엘사가 죽어서 슬프긴해요  그래서 울라프도 죽어요  하지만 둘 다 살아나요  강추합니다  ,겨울왕국
음악이 없었다면 별  개는 더 빼야 맞다    암 유발자 안나,겨울왕국
 ,겨울왕국
                   최고네  이곡 하나만으로도 본전뽑음  ,겨울왕국
꼭 영화관에서 보세요 집에서 보면 노래만 하다 끝난다라고 평할겁미다  개인적으로 편보다 재밌었어요,겨울왕국
노래만하다 끝나는 이게 뭐가 잼있다는건지   스토리가 이게 뭐냐 지루하다 진짜  별것도 아닌 스토리로 몇십분씩 끌고 노래만 하고    쿵푸팬더가 영상미도 좋고 훨씬 재밌다 이런 지루한 영화가 천만 관객이라니     영화에서 노래 나오는거 안좋아 하는데 극장가서 안본게 다행  노래소리 너무 귀아파  재미없는 드라마 수준,겨울왕국
감동 그자체 친구간의  소통이되길,겨울왕국
듣는 귀는 즐겁지만 시각적인 즐거움은 떨어지는 ,겨울왕국
재밌,겨울왕국
너무나도 재미있었어요  이 영화 처음본지 조금 많이 지났지만 아직도 그 기역이 생생하게나요  겨울왕국  내일 나오는데 기대되네요 겨울왕국 영화와 노래 잘 보도록 하겠습니다  ,겨울왕국
    ,겨울왕국
역대 애니메이션 영화 장르  최고의 명작 ,겨울왕국
애니를 많이 좋아하는 편이라 기대하고 봤는데 기대가 커서 그런지 생각보다 재미있지는 않았다  음악과 영상이 좋았지만 조금은 뻔한 스토리  중간에 다소 늘어지는 지루한 연출이 아쉽다 ,겨울왕국
디즈니를 부활시킨 겨울 멜로디,겨울왕국
음악이 또 한몫하다,겨울왕국
이건 확실히 애니보다는    가 더 좋다,겨울왕국
순수한 동화이야기 같아서 좋다,겨울왕국
굿 ,겨울왕국
좋은 애니이나 동성적인 부분에서 별점  을 뺍니다  ,겨울왕국
개인적으로 별로임,겨울왕국
    년의 대작 렛잇고  ,겨울왕국
 ,겨울왕국
겨울왕국,겨울왕국
주인공은 안나,겨울왕국
디즈니의 화려한 영화,겨울왕국
렛 겨 고 렛 울 고 렛 왕 고 렛 국 고,겨울왕국
잘만든 애니메이션 ,겨울왕국
재밌었다 후속편 기대,겨울왕국
재미없었다,겨울왕국
디즈니 최고의 애니   편이 너무너무 기대됨 ,겨울왕국
너무재미있게봤다,겨울왕국
유명한 노래가 나오는것 말고는 뭐없었다,겨울왕국
하고싶어요안될까요제발보내드립니다 ,겨울왕국
애들이 보는 영화,겨울왕국
